id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-09-16 19:40:51.012839,,,,,,f,,{},1,2,1
2,2019-09-16 19:54:00.179736,,,,,,t,2019-09-16 20:02:22.466558,{},1,3,1
3,2019-09-16 19:59:29.634492,,,,,,t,2019-09-16 20:03:27.561584,{},1,4,1
5,2019-09-16 20:12:59.131117,,,,,,t,2019-09-16 20:16:22.382381,{},1,6,1
4,2019-09-16 20:06:51.009474,,,,,,t,2019-09-16 20:17:34.668026,{},1,5,1
6,2019-09-16 20:16:44.85634,,,,,,t,2019-09-16 20:25:18.697391,{},1,7,1
7,2019-09-16 20:30:19.983243,,,,,,t,2019-09-16 20:30:26.646061,{},1,8,1
8,2019-09-16 20:38:27.024257,,,,,,t,2019-09-16 20:42:54.921438,{},1,9,1
9,2019-09-16 20:45:41.528211,,,,,,f,,{},1,10,1
10,2019-09-16 21:32:51.111878,,,,,,t,2019-09-16 21:51:10.390525,{},1,11,1
11,2019-09-16 22:17:49.00981,,,,,,t,2019-09-16 22:30:55.41661,{},1,12,1
12,2019-09-16 23:29:17.175559,,,,,,t,2019-09-16 23:31:37.687629,{},1,13,1
13,2019-09-17 00:13:37.118056,,,,,,f,,{},1,14,1
14,2019-09-17 00:37:43.020282,,,,,,t,2019-09-17 00:39:57.054228,{},14,15,1
15,2019-09-17 00:37:43.045169,,,,,,t,2019-09-17 00:39:57.06319,{},10,15,1
16,2019-09-17 00:37:43.086126,,,,,,t,2019-09-17 00:39:57.074115,{},2,15,1
17,2019-09-17 00:44:23.372229,,,,,,f,,{},2,16,1
18,2019-09-17 00:44:23.461518,,,,,,f,,{},10,16,1
19,2019-09-17 00:44:23.526939,,,,,,f,,{},14,16,1
20,2019-09-17 00:53:49.665681,,,,,,f,,{},2,17,1
21,2019-09-17 00:53:49.687686,,,,,,f,,{},10,17,1
22,2019-09-17 00:53:49.706886,,,,,,f,,{},14,17,1
23,2019-09-17 00:54:10.074489,,,,,,f,,{},2,18,1
24,2019-09-17 00:54:10.124598,,,,,,f,,{},10,18,1
25,2019-09-17 00:54:10.151313,,,,,,f,,{},14,18,1
